post_comment,id,sentence,entity,pos_sentiment_words,neg_sentiment_words,textblob,sentiment
post,2_post,spectra light show free,['light show'],['free'],[],0.4,7.857142857
post,2_post,future world at art science museum,"['future world', 'art science museum']",[],[],0.0,6.428571429
post,2_post,9,['9'],[],[],0.0,6.428571429
post,2_post,20,['20'],[],[],0.0,6.428571429
post,2_post,the ultimate guide on the best things to do singapore,['singapore'],['best'],[],0.5,8.214285714
post,2_post,can you believe most of these things are completely free,[],"['most', 'completely', 'free']",[],0.45,8.035714286
post,3_post,shopping in singapore louis vuitton  singapore is just different,"['singapore', 'louis vuitton   ', 'singapore']",[],[],0.0,6.428571429
post,4_post,top 20 places to visit merlion park marina bay sands fountain show skypark,"['20', 'merlion park', 'marina bay', 'fountain show', 'skypark']",['top'],[],0.5,8.214285714
post,4_post,celavi helix bridge gardens by the bay haji lane bali lane sultan mosque chinatown little india arab street orchard raffles hotel sentosa sea aquarium universal studios cable car fort canning tree tunnel jewel changi airport here,"['celavi', 'helix bridge', 'garden by the bay', 'haji lane', 'bali lane', 'sultan mosque', 'chinatown', 'little india', 'arab street', 'orchard', 'raffle hotel', 'sentosa', 'sea aquarium', 'universal studio', 'cable car', 'fort canning', 'jewel changi airport']",[],[],0.0,6.428571429
post,4_post,s my top 20 most visited place in singapore,"['20', 'singapore']","['top', 'most']",[],0.5,8.214285714
post,5_post,this is really one of the most expensive cities in the world lets find out his wife spending a day in singapore jumped on the mrt which is about 90 per journey and its really easy to use just tap your contact list card,"['a day', 'singapore', 'mrt', 'about 90']","['really', 'most', 'really', 'easy']",['expensive'],0.1583333333333333,6.994047619
post,5_post,headed straight to fort canning tunnel because tiktok made me do it and its completely free to do this,['fort canning'],"['straight', 'completely', 'free']",[],0.3,7.5
post,5_post,then i went to arab street because i wanted to see the sultan mosque which is absolutely gorgeous by the way,"['arab street', 'sultan mosque']","['absolutely', 'gorgeous']",[],0.7,8.928571429
post,5_post,then i went to chinatown for lunch and i went to artistic and you can choose your own barbecue skewers and all of this and a drink was only eight pound 32 so far i think thats pretty good,"['chinatown', 'only eight pound']","['artistic', 'far', 'pretty', 'good']",[],0.2766666666666666,7.416666667
post,5_post,then i went to the sky garden at capitol spring and most underrated thing to do in singapore put away is completely free to do it and its got the most incredible views of the bay,"['sky garden', 'capitol spring', 'singapore']","['most', 'completely', 'free', 'most', 'incredible']",[],0.575,8.482142857
post,5_post,then i went to level 33 rooftop bar for sunset rings and yeah drinks are more expensive here but not like crazy expensive i got hard seltzer for seven pounds,"['level 33', 'seven pound']",['more'],"['expensive', 'crazy', 'expensive', 'hard']",-0.2783333333333334,5.43452381
post,5_post,then i went to a hawker center which id heard was pretty cheap for food and i got these vegetables for only four pounds 80,"['hawker center', 'food', 'only four pound']","['pretty', 'cheap']",[],0.2166666666666666,7.202380952
post,5_post,this is inside the shopping center which is literally amazing and theyve even got a sparkly louis vuitton as well,[],['amazing'],[],0.5,8.214285714
post,5_post,its time to head to the spectra light show which is also free so many free things to do in singapore which is great,"['light show', 'singapore']","['free', 'many', 'free', 'great']",[],0.525,8.303571429
post,5_post,then it ended the night with some ice cream which is 5 pounds 40 singapore,"['5', 'singapore']",[],[],0.0,6.428571429
post,5_post,what i spend in a day,[],[],[],0.0,6.428571429
post,5_post,unpopular opinion but i really didn,[],['really'],[],0.2,7.142857143
post,5_post,t think it was that expensive at all,[],[],['expensive'],-0.5,4.642857143
post,5_post,so many free or reasonably priced things to do here,[],"['many', 'free', 'reasonably']",[],0.3666666666666667,7.738095238
post,6_post,its too expensive to visit singapore now,['singapore'],[],['expensive'],-0.5,4.642857143
post,6_post,here are 6 free places visit in singapore jewel changi airport southern ridges,"['6', 'singapore', 'jewel changi airport', 'southern ridge']",['free'],[],0.2,7.142857143
post,6_post,supertree grove entrance free,['supertree grove'],['free'],[],0.4,7.857142857
post,6_post,ocbc skyway rm42,"['skyway', 'rm42']",[],[],0.0,6.428571429
post,6_post,singapore botanic gardens entrance free national orchid garden rm52,"['singapore', 'national orchid garden', 'rm52']",['free'],[],0.4,7.857142857
post,6_post,macritchie treetop walk free,['macritchie treetop walk'],['free'],[],0.4,7.857142857
post,6_post,these spots are great for photos too,[],['great'],[],0.8,9.285714286
post,7_post,our diy singapore trip daily itinerary for 6 days and 5 nights total expense at the end of the video,"['our diy singapore', 'daily', '6 day', '5 night']",[],[],0.0,6.428571429
post,7_post,jewel changi,['jewel changi'],[],[],0.0,6.428571429
post,7_post,arrival in singapore,['singapore'],[],[],0.0,6.428571429
post,7_post,dinner in orchard road brunch in chinatown gardens by the bay cloud forest flower dome supertree grove sightseeing shopping haji lane arab street little india bugis street newton hawker centre brunch at vivo city universal studios singapore fun day,"['orchard', 'chinatown', 'garden by the bay', 'cloud forest', 'flower dome', 'supertree grove', 'haji lane', 'arab street', 'little india', 'bugis', 'newton hawker centre', 'vivo city', 'universal studio', 'singapore']",['fun'],[],0.15,6.964285714
post,7_post,brunch and shopping in chinatown merlion park art science museum shoppes at marina bay breakfast shopping in don don donki checkout flying back to manila total expense for 2 persons our 6d5n diy singapore itinerary  our total expense,"['chinatown', 'merlion park', 'art science museum', 'shoppe', 'marina bay', 'don don donki', '2']",[],[],0.0,6.428571429
post,8_post,places to visit in singapore changi airport universal studios merlion marina bay sands supertree grove art science museum helix bridge kampong glam haji lane old hill street gardens by the bay cloud forest songfa bak kut teh little india,"['singapore', 'universal studio', 'merlion', 'marina bay', 'supertree grove', 'art science museum', 'helix bridge', 'kampong glam', 'haji lane', 'old hill street', 'garden by the bay', 'cloud forest', 'bak kut teh', 'little india']",[],[],0.0,6.428571429
post,8_post,where to go for your singapore travel,[],[],[],0.0,6.428571429
post,8_post,save this for future purposes,[],[],[],0.0,6.428571429
post,9_post,singapore marina bay sands hotel is one of the most unique sights in singapore,"['singapore', 'marina bay', 'singapore']","['most', 'unique']",[],0.4375,7.991071429
post,9_post,ibbz7,[],[],[],0.0,6.428571429
post,9_post,singapore,['singapore'],[],[],0.0,6.428571429
post,10_post,must see hotels that will leave you speechless marina bay sands singapore who are you bringing,"['marina bay', 'singapore']",[],[],0.0,6.428571429
post,10_post,check out the link in our bio for a travel must,[],[],[],0.0,6.428571429
post,10_post,have,[],[],[],0.0,6.428571429
post,11_post,places to visit in singapore jewel changi airport merlion park gardens by the bay arab street universal studios  places to visit in singapore part 1,"['singapore', 'jewel changi airport', 'merlion park', 'garden by the bay', 'arab street', 'universal studio', 'singapore', '1']",[],[],0.0,6.428571429
post,12_post,when you are in singapore do not forget to visit joo chiat peranakan house cafes from coffee to ice cream quirky indie store part 1,"['singapore', 'joo chiat', 'peranakan house', '1']",[],[],0.0,6.428571429
post,12_post,when in singapore dont forget to explore the streets of joo chiat,"['singapore', 'joo chiat']",[],[],0.0,6.428571429
post,13_post,changi airport is the worlds most luxurious airport,['changi'],['most'],[],0.5,8.214285714
post,13_post,actually that nice it has the worlds largest indoor waterfall in the forest with a magical maze,['large indoor waterfall'],"['nice', 'magical']",[],0.3666666666666667,7.738095238
post,13_post,theres also a technology area with a mirror illusion room and a gym that has workout video games with a massive screen,[],[],[],0.0,6.428571429
post,13_post,ive never seen an airport like this before that even has a vending machine that sells gold bars a gold bar the size of a fingernail i cant believe i just bought that,[],[],[],0.0,6.428571429
post,13_post,if you want to run around before your flight you can jump on the slide or the trampoline course,[],[],[],0.0,6.428571429
post,13_post,or watch a movie in the imax movie theater called completely transforms for the disney light show is this the worlds best airport,['light show'],"['completely', 'best']",[],0.55,8.392857143
post,14_post,universal studios singapore number one is coming at 11,"['universal studio', 'number one', '11']",[],[],0.0,6.428571429
post,14_post,00 a,['00'],[],[],0.0,6.428571429
post,14_post,m,[],[],[],0.0,6.428571429
post,14_post,opening the part number to bring a bottle and mineral,[],[],[],0.0,6.428571429
post,14_post,waters park number to bring a wrinkle number for papa murphys pizza coupons universal studios singapore,"['universal studio', 'singapore']",[],[],0.0,6.428571429
post,14_post,travel tipid tips,[],[],[],0.0,6.428571429
post,16_post,riverside point singapore at night,['night'],[],[],0.0,6.428571429
post,17_post,free things you can do in singapore if you meet these three conditions you cannot enjoy pay attention in singapore such as a zoo and sea aquarium or even eat and drink for free,"['singapore', 'three', 'singapore', 'sea aquarium']","['free', 'enjoy', 'free']",[],0.3,7.5
post,17_post,first you need to be a singapore tourist second you must enter singapore via flight as you will need to verify your arrival in singapore to receive the ticket that you must read him singapore rewards for the first time if you meet all these requirements you can go to visit singapore dot,"['first', 'singapore', 'second', 'singapore', 'singapore', 'singapore', 'first']",[],[],0.0,6.428571429
post,17_post,do you know you can redeem paid attractions and experiences in singapore for free for yourself and,['singapore'],['free'],[],0.4,7.857142857
post,17_post,or your family and friends entering singapore,['singapore'],[],[],0.0,6.428571429
post,18_post,head to the famous marina bay sands hotel this hotel has an amazing infinity pool where youre guaranteed the best view of singapore the entrance is like super expensive so what you can do is just stand in front of the building and watch the rich people live the life of your dreams,['marina bay'],"['famous', 'amazing', 'best', 'super', 'rich', 'live']",['expensive'],0.3492424242424242,7.675865801
post,18_post,singapore also has a lot of cute coffee shops but even as simple as coffee with cautious this country just called me,['singapore'],['cute'],[],0.25,7.321428571
post,18_post,poor,[],[],['poor'],-0.4,5.0
post,18_post,in all its 4 national languages,['4'],[],[],0.0,6.428571429
post,19_post,this is gardens by the bay and without a doubt this is one of the best things you can do while youre in singapore the best part the gardens are completely free to enter and theres a free daily light show at 7,"['garden by the bay', 'singapore', 'light show']","['best', 'best', 'completely', 'free', 'free']",[],0.5599999999999999,8.428571429
post,19_post,45 and 8,['45'],[],[],0.0,6.428571429
post,19_post,45 p,['45'],[],[],0.0,6.428571429
post,19_post,m,[],[],[],0.0,6.428571429
post,19_post,also i decided to get a ticket to the skyway which runs through the gardens by the bay tickets were only 7 lb and its the most incredible view felt like i was in an avatar movie,"['skyway', 'garden by the bay']","['most', 'incredible']",[],0.4666666666666666,8.095238095
post,20_post,places to visit in singapore jewel changi marina bay fort canning tree tunnel ion orchard marina barrage art science museum sultan mosque old hill street police station haji lane helix bridge library orchard alkaff bridge places that are must,"['singapore', 'jewel changi', 'marina bay', 'fort canning', 'ion orchard', 'marina barrage', 'art science museum', 'sultan mosque', 'old hill street', 'haji lane', 'helix bridge', 'library orchard', 'alkaff bridge']",[],[],0.0,6.428571429
post,20_post,to,[],[],[],0.0,6.428571429
post,20_post,visit in singapore,['singapore'],[],[],0.0,6.428571429
post,20_post,save now for your next trip to singapore,['singapore'],[],[],0.0,6.428571429
post,21_post,once in a lifetime you should go to sg with your bestie,[],[],[],0.0,6.428571429
post,21_post,u should put,[],[],[],0.0,6.428571429
post,21_post,trip to sg with ur bestie,[],[],[],0.0,6.428571429
post,21_post,in your bucket list,[],[],[],0.0,6.428571429
post,22_post,only 30 minutes from singapore you find a hidden paradise called lazarus take the ferry from marina south pier which is only,"['only 30 minute', 'singapore', 'lazarus', 'marina south pier']",[],['hidden'],-0.0555555555555555,6.23015873
post,22_post,15 and a bit windy but you discovered this beautiful white sand and clear blue water the island is so much bigger than expected and there is a unique container hotel for,"['15', 'white sand']","['beautiful', 'clear', 'much', 'unique']",['expected'],0.175,7.053571429
post,22_post,160 per night,['160'],[],[],0.0,6.428571429
post,22_post,if you want to stay a little longer make sure to leave the beach on time before the rain comes and singapore disappears in the storm,['singapore'],['sure'],['little'],0.15625,6.986607143
post,22_post,only 30,['only 30'],[],[],0.0,6.428571429
post,22_post,away from singapore you find this hidden paradise,['singapore'],[],['hidden'],-0.1666666666666666,5.833333333
post,23_post,if youre traveling out from singapore and youre flying one of these airlines do you know that you can get these vouchers if you do your early check,"['singapore', 'one']",['early'],[],0.1,6.785714286
post,23_post,in at level 1 jewel all you need to do is be here by 3 hours or earlier before your flight do your usual check,"['1', 'jewel', '3 hour']",[],['usual'],-0.125,5.982142857
post,23_post,in and you can get this vouchers from the stuff if you are a tourist you can go to the concert at level two show your passport and you can get another voucher for you to shop at jewel follow me for more exciting deals in singapore and ill see you in my next video bye,"['two', 'jewel', 'singapore']","['more', 'exciting']",['ill'],0.075,6.696428571
post,23_post,bye how to get free vouchers from jewel changi airport,['jewel changi airport'],['free'],[],0.4,7.857142857
post,25_post,"free things to do in june part 1 national museum of singapore peranakan museum singapore art museum 10mins walk from dhoby ghaut mrt tip you can walk over to this spot after visiting national museum of singapore tip you can explore the private art galleries there too

 stuck in singapore during june hols","['june', '1', 'national museum of singapore', 'peranakan museum', 'singapore art museum', 'mrt', 'national museum of singapore', 'singapore', 'june']",['free'],[],0.2,7.142857143
post,25_post,i gotchu,[],[],[],0.0,6.428571429
post,25_post,most of the museums here are free for locals,[],"['most', 'free']",[],0.45,8.035714286
post,26_post,free things to do in singapore changi airport terminal 4 and i will be sharing three things you can do this time number one experience the truth of sliding down these giant slide for free and then bounce and climb in this network play structure that is 60 m tall the giant slide is seriously fun and i could not resist playing it multiple times before i bought my plane,"['singapore', 'terminal 4', 'three', '60']","['free', 'free', 'fun']","['down', 'seriously']",0.1349206349206349,6.910430839
post,26_post,number two head to the heritage zone where you can relax on a comfortable so far and enjoy this mesmerizing 6 minutes musical show on the giant screen it makes you feel as though you are in a concert or so what about the meaning for and appreciate the amazing world like this bloom centerpiece which is perfect for photography and selfies,"['two', '6 minute']","['comfortable', 'far', 'enjoy', 'mesmerizing', 'amazing', 'perfect']",[],0.35,7.678571429
post,26_post,number three take a shot at this lounge for free i am 1,"['three', '1']",['free'],[],0.4,7.857142857
post,26_post,86 meters tall and i cant really sleep well on this comfortable seats which have soft hit rest not free but other things you can do in terminal 4 in clothes getting a tiger beer before you fly to check out the amazing and retail stores in terminal for theres so much to explore,"['86 meter', 'terminal 4']","['really', 'comfortable', 'soft', 'free', 'fly', 'amazing', 'much']",['other'],0.246875,7.310267857
post,26_post,save this and travel later,[],[],[],0.0,6.428571429
post,27_post,singapore in 2008 singapore in 2023 growing up and glowing up,"['singapore', '2008', 'singapore', '2023']",[],[],0.0,6.428571429
post,28_post,come for me on the first class bus from singapore to kl for just 45 dollars so the journey began at 7,"['first', 'singapore', '45 dollar', '7']",[],[],0.0,6.428571429
post,28_post,00 a,['00'],[],[],0.0,6.428571429
post,28_post,m,[],[],[],0.0,6.428571429
post,28_post,at lavender mrt station where we got picked up by this random bus,['mrt'],[],['random'],-0.5,4.642857143
post,28_post,which brought us the location where we then transferred to our first class bus so this is how the first class bus looks like its a double,"['first', 'first']",[],[],0.0,6.428571429
post,28_post,decker bus the seats are equipped with the tv a massage chair ample legroom and comfortable seats so we headed to fast track flights and cross the highway this is pretty smooth with all our baggage,[],"['comfortable', 'fast', 'pretty', 'smooth']",[],0.25,7.321428571
post,28_post,i bought some snacks and then we rebooted the bus and thats where we were served our meal which honestly was not bad i would say you can also request for blankets water bottles and snacks at any point of time so the journey to care took about six and a half hours we finally reached by times square around 1 p,['about six and a half hour'],['honestly'],['bad'],0.3166666666666666,7.55952381
post,28_post,m,[],[],[],0.0,6.428571429
post,28_post,follow me for more travel content i,[],['more'],[],0.5,8.214285714
post,28_post,ve always wanted to try taking a first class coach to kl,['first'],[],[],0.0,6.428571429
post,28_post,finally got the chance to do this last week,['this last week'],[],[],0.0,6.428571429
post,29_post,this is how i got free entry to singapore zoo,['singapore zoo'],['free'],[],0.4,7.857142857
post,29_post,sea aquarium,['sea aquarium'],[],[],0.0,6.428571429
post,29_post,cutie animals download the visit singapore application click on singaporewards many experiences for you to choose from a little inside trick for you,['singapore'],['many'],['little'],0.15625,6.986607143
post,30_post,reloading mrt cards in sg the efficiency in this country,['mrt'],[],[],0.0,6.428571429
post,30_post,s transport system,[],[],[],0.0,6.428571429
post,31_post,this is something that you wish to know before you visit universal studios singapore you can collect this free photographs around uss and exchange them at the end of the day but the fact is most people will think they are rubbish and just throw them away here are some ways you could collect this response and maximize the benefits out of this,"['universal studio', 'the end of the day']","['free', 'most']",[],0.3,7.5
post,31_post,go to all the characters meet and greet section in the park obviously you will get a photo wristband not many know that you can also stop by this stationary photo booths like this transformer team where they provide the response on selected right you could also ask if they ever respond after you took that right after you have collected at least 10 reasons bring this weeks bands to the photography studio here and they will consolidate all photos for you by the way after stuff to take photo of you and they are green screen to they allow you to use your phone and take photos of the photos but if you really like the photos you could purchase all digital copies at the flat rate i think it is 35 dollars nowyou now have the memories of your uss trip which you can download later,"['at least 10', 'this week', '35 dollar']","['many', 'right', 'right', 'really']","['green', 'flat']",0.0329365079365079,6.546201814
post,31_post,save this and travel later,[],[],[],0.0,6.428571429
post,32_post,universal studios honeymoon,['universal studio'],[],[],0.0,6.428571429
post,36_post,traveling with my dad vs without extremely thankful for my daddy,[],[],['extremely'],-0.125,5.982142857
post,37_post,cruise from singapore to malaysia this is results worldwide is the new vessel with 13 decks they can fit 1856 passengers with 928 state rooms i took a 4839 package for the cruise does a trip from singapore to port klang penang and then back to singapore there are a few types of room and they all come in different prices we got the balcony stateroom it was around 1350 for the both of us including mandatory port charges and go to this price includes five meals a day and inclusive restaurants on some fun activities and performers with that being said no extra charges unless you want to do or eat in a restaurant that is not in the inclusive list,"['singapore', 'malaysia', '13', '1856', '928', '4839', 'singapore', 'klang penang', 'singapore', '1350', 'five']","['new', 'fit', 'fun']",['few'],0.0909090909090909,6.753246753
post,37_post,oh yes what is not included you have to pay for it unless you can survive without wi,[],[],[],0.0,6.428571429
post,37_post,fi for 4 days throughout the entire journey you have to carry your key card with you all the time its like a credit card youll be charged if you do or eat something exclusive payment can be made when you check out on the last day even though the cruise stopped at port clinton we did not get down and we were allowed to spend a few hours in penang,"['4 day', 'the last day', 'clinton', 'a few hour', 'penang']",[],['down'],-0.0388888888888888,6.28968254
post,37_post,and then interesting thing is that before we bought the cruise they collected all our passport so we were actually aroundi hope this video gives you an idea of where to go for the next travel destination let me know if you have any questions about the cruise for me for more and ill see you in my next video bye,[],"['interesting', 'more']",['ill'],0.0833333333333333,6.726190476
post,37_post,bye would you pay sgd1350,['sgd1350'],[],[],0.0,6.428571429
post,37_post,2pax to travel to malaysia via cruise,"['2pax', 'malaysia']",[],[],0.0,6.428571429
post,37_post,all meals inclusive tho,[],[],[],0.0,6.428571429
post,38_post,i spent two weeks in singapore and heres what i recommend you do marina bay sands is the one then walk to gardens by the bay and the science museum at stella seaside lounge reviews and the food,"['two week', 'singapore', 'marina bay sand', 'garden by the bay', 'food']",[],['spent'],-0.1,6.071428571
post,38_post,its just more immerse yourself in the beauty of arab street and haji lane,"['arab street', 'haji lane']",['more'],[],0.5,8.214285714
post,38_post,visit chinatown get lunch at tanjong beach club oh my god its just beautiful,"['chinatown', 'tanjong beach']",['beautiful'],[],0.85,9.464285714
post,38_post,make sure you do sunset yoga at the top of marina bay sands so i spent two weeks in singapore and here,"['marina bay', 'two week', 'singapore']","['sure', 'top']",['spent'],0.3,7.5
post,38_post,s what i recommend,[],[],[],0.0,6.428571429
post,39_post,kyoto in singapore find other beautiful places japan is in the east but this place isn,"['kyoto', 'singapore', 'japan']",['beautiful'],['other'],0.3625,7.723214286
post,39_post,t,[],[],[],0.0,6.428571429
post,40_post,hey guys this is my first time traveling to koalas language with transtar travel first class solitaire street at 6,"['first', 'first', '6']",[],[],0.0,6.428571429
post,40_post,30 you bought at the bus schedule east mrt it is upper deck bus i said on the other day with my friends do you know that the chance come with such function youre able to reply to rest you will definitely not get bored because theres a tv for your entertainment they have a white sox on youtube music about 6 hours and 1 p,"['30', 'mrt', 'the other day', 'about 6 hour']",['able'],['bored'],0.0,6.428571429
post,40_post,m,[],[],[],0.0,6.428571429
post,40_post,thank you guys for watching do follow me for more travel cont habe you try traveling in transtar travel,[],['more'],[],0.5,8.214285714
post,40_post,s first class solitaire suite,['first'],[],[],0.0,6.428571429
post,40_post,the feeling is like boarding a business class cabin of a plane,[],[],[],0.0,6.428571429
post,41_post,national museum of singapore got my first class ticket lets go,"['national museum of singapore', 'first']",[],[],0.0,6.428571429
post,41_post,first stop getting around singapore check out old travel posters remember these airline souvenirs have you seen as i first class seat who can forget isaiah iconic kubota in the past,"['first', 'singapore', 'first']","['old', 'iconic']",['past'],0.1166666666666666,6.845238095
post,41_post,we use trisha now we use mrt to get around,['mrt'],[],[],0.0,6.428571429
post,41_post,not stop where to stay in singapore,['singapore'],[],[],0.0,6.428571429
post,41_post,check out the iconic raffles hotel uniform hotel can you get his uniform is a pussy hotel singapore has more crazy rich asians wonder why the first stop is singapore favorite past time check out the old school brands recognize any of them time to go start seeing and shopping for the,"['raffle hotel', 'singapore', 'asians', 'first']","['iconic', 'more', 'rich', 'favorite', 'old']","['crazy', 'past']",0.1607142857142857,7.00255102
post,41_post,last stop lets go to singapores shopping paradise orchard road after shopping lets go sightseeing see old photos of popular attractions,"['singapore', 'orchard']","['old', 'popular']",[],0.2333333333333333,7.261904762
post,41_post,finally head to a party to end the day these original night spots signage will bring back nothing will start on may 27th see you on board now boarding,"['the day', 'may 27th']",['original'],[],0.125,6.875
post,41_post,experience singapore through travel,['singapore'],[],[],0.0,6.428571429
post,41_post,opens 27 may at,['27'],[],[],0.0,6.428571429
post,42_post,this is not your typical restaurant i ate my dinner inside a river but things didnt go as planned find out what happened where this is and how much i paid in my lemonade post check out more such recommendations on lemonade across food fashion beauty and eating in a river,['food'],"['much', 'more']",['typical'],0.1333333333333333,6.904761905
post,42_post,one of the many things to do in kuala lumpur,"['one', 'kuala lumpur']",['many'],[],0.5,8.214285714
post,43_post,and with that the 2022 season comes to an end good night what,['2022 season'],['good'],[],0.7,8.928571429
post,43_post,a,[],[],[],0.0,6.428571429
post,43_post,year,[],[],[],0.0,6.428571429
post,44_post,singapore to malaysia malaysia to singapore via bus why wont you open hp from sg to malaysia star mart express road golden mile complex to virginia times square at this route is 6 minutes away from patronus twin towers one for a php from malaysia to singapore route for today is 6 hours happy travels replying to,"['singapore', 'malaysia', 'malaysia', 'singapore', 'malaysia star mart', 'virginia', '6 minute', 'malaysia', 'singapore', 'today', '6 hour']","['golden', 'happy']",['complex'],0.2,7.142857143
post,45_post,some of our favourite things some of our fav things to see,[],[],[],0.0,6.428571429
post,45_post,do in,[],[],[],0.0,6.428571429
post,46_post,manila singapore travel requirements as of may 2023 passport with at least 6 months validity sg arrival card roundtrip flight ticket hotel booking vax cert coe  and proof of vacation leave if employee itinerary singapore 2023 travel requirements,"['manila singapore', 'may 2023', 'at least 6 month', 'sg arrival card', '2023']",[],[],0.0,6.428571429
post,46_post,hope this helps,[],[],[],0.0,6.428571429
post,47_post,places to go and things to do in singapore part 1 universal studios singapore cable car clarke quay national gallery singapore skyline luge skyride chijmes our singapore itinerary,"['singapore', '1', 'universal studio', 'cable car', 'clarke quay', 'national gallery singapore', 'skyline luge', 'skyride', 'chijme', 'singapore']",[],[],0.0,6.428571429
post,47_post,part 1,['1'],[],[],0.0,6.428571429
