,id,url,account_name,following_count,follower_count,total_like_count,date,href,handle,description,hashtag,like_count,bookmark_count,share_count,comment_count,audio_to_text
10,10_post,https://www.tiktok.com/@elitevacays/video/7215048588953439493,ELITE VACAYS,0,354.5K,11.6M,2023-3-27,/@elitevacays,elitevacays,Who are you bringing? Check out the link in our bio for a travel must-have✨ ,"['amazinghotels', 'travelproducts', 'travelworld_addict', 'traveltok']",5940,1311,184,23,
11,11_post,https://www.tiktok.com/@aktravelss/video/7201129793759284486,AKTRAVELS ✈️ 🌍,129,130.2K,8.4M,2023-2-17,/@aktravelss,aktravelss,PLACES TO VISIT IN SINGAPORE PART 1 🇸🇬 ,"['singapore', 'travel', 'aktravels', 'jewelchangi', 'merlionpark', 'gardensbythebay']",54.8K,14.6K,1842,179,
12,12_post,https://www.tiktok.com/@pocketsofsunshines/video/7231887306091760898,Pocketsofsunshines 🌼,4144,1447,50.1K,2023-5-11,/@pocketsofsunshines,pocketsofsunshines,"Part 1 | When in Singapore, dont forget to explore the streets of Joo Chiat ✨ ","['exploresingapore', 'travelsingapore', 'cafehoppingsg', 'sgfoodie', 'whattodoinsg', 'dateideassg', 'wheretogosg', 'joochiat', 'cafesg', 'mysgguide']",20.2K,13.7K,1435,72,
13,13_post,https://www.tiktok.com/@drewhacks/video/7197767840303172906,DrewHacks,137,2.5M,135.2M,2023-2-8,/@drewhacks,drewhacks,Is this the World's Best Airport? ,"['singapore', 'travel']",717.4K,62.5K,4454,2977,is the world's most luxurious airport actually that nice it has the world's largest indoor waterfall in the forest with a magical maze there's also a technology area with a mirror illusion room and a gym that has workout video games with a massive screen I've never seen an airport like this before that even has a vending machine that sells gold bars a gold bar the size of a fingernail I can't believe I just bought that if you want to run around before your flight you can jump on the slide or the trampoline course or watch a movie in the IMAX movie theater called completely transforms for the Disney light show
14,14_post,https://www.tiktok.com/@paulivandg/video/7241556477113060614,Ivan de Guzman,746,1.8M,28.1M,2023-6-6,/@paulivandg,paulivandg,Universal Studios Singapore • Travel Tipid Tips ,"['travelph', 'traveltiktok', 'traveltok', 'traveltips', 'learnontiktok', 'paulivandg']",5761,2565,771,85,Universal Studios Singapore number one is coming at 11:00 a.m. opening the part number to bring a bottle and mineral Waters Park number to bring a wrinkle number for Papa Murphy's Pizza coupons
15,15_post,https://www.tiktok.com/@nuncyyyy/video/7196107729218309403,Nuncyyyyy,142,10.8K,2M,2023-2-4,/@nuncyyyy,nuncyyyy,✈️🇸🇬🥰 ,"['singapore', 'universalstudiosingapore', 'travel']",2M,152.7K,24.6K,3883,can we skip to the good part
16,16_post,https://www.tiktok.com/@itstravelchan/video/7220603906957708550,itstravelchan,7,1118,9550,2023-4-11,/@itstravelchan,itstravelchan,Singapore at night! ,"['travel', 'travelvlog', 'traveltiktok', 'sg', 'singapore', 'asia', 'adventure', 'explore', 'nightvibes', 'nightcityview', 'city', 'shorts', 'short', 'foryou']",7368,1154,681,42,
17,17_post,https://www.tiktok.com/@daddy.xj/video/7246753475168570632,daddy.xj,408,8896,130.2K,2023-6-20,/@daddy.xj,daddy.xj,Do you know you can redeem paid attractions and experiences in Singapore for free for yourself and/or your family and friends entering Singapore? 👀,"['travelsingapore', 'travelsingapore', 'exploresingapore', 'freethingstodo', 'fypsg', 'tiktoksingapore']",985,635,155,20,three things you can do in Singapore if you meet these three conditions you cannot enjoy pay attention in Singapore such as a zoo and Sea Aquarium or even eat and drink for free first you need to be a Singapore tourist second you must enter Singapore via flight as you will need to verify your arrival in Singapore to receive the ticket that you must read him Singapore rewards for the first time if you meet all these requirements you can go to visit Singapore Dot
18,18_post,https://www.tiktok.com/@ramalauw/video/7178544217814224134,Rama,291,593.8K,33.7M,2022-12-18,/@ramalauw,ramalauw,This country just called me ✨poor✨ in all its 4 national languages 🥰 ,"['singapore', 'traveling', 'amipoor', 'travel']",17.8K,2274,756,183,head to the famous Marina Bay Sands Hotel this hotel has an amazing infinity pool where you're guaranteed the best view of Singapore the entrance is like super expensive so what you can do is just stand in front of the building and watch the rich people live the life of your dreams Singapore also has a lot of cute coffee shops but even as simple as coffee with cautious
19,19_post,https://www.tiktok.com/@montanadarby/video/7232004733987343643,Montana | Travels,149,95.5K,4.8M,2023-5-11,/@montanadarby,montanadarby,Felt like I was in an Avatar movie!! ,"['travel', 'singapore', 'singaporetravel', 'gardensbythebay']",2100,665,240,15,this is Gardens by the bay and without a doubt this is one of the best things you can do while you're in Singapore the best part the gardens are completely free to enter and there's a free daily light show at 7:45 and 8:45 p.m. also I decided to get a ticket to the Skyway which runs through the gardens by the Bay tickets were only 7 lb and it's the most incredible View
20,20_post,https://www.tiktok.com/@odikabayu/video/7236331628782439685,Odika Bayu,131,50.9K,3M,2023-5-23,/@odikabayu,odikabayu,Places that are must-to-visit in Singapore!! Save now for your next trip to Singapore 😍 ,"['singapore', 'travel', 'viralditiktok', 'tiktoktraveltrend', 'minivlogtravelling', 'vlogjalanjalan', 'traveltiktok', 'tour', 'travelingvlog', 'jalanjalantraveling']",18.5K,12.6K,1885,143,
21,21_post,https://www.tiktok.com/@nathaniaclr/video/7246699681328286982,Nathania Clairine,151,5306,480.2K,2023-6-20,/@nathaniaclr,nathaniaclr,u should put “trip to SG with ur bestie” in your bucket list!! ,"['singapore', 'travel', 'bestie']",86.4K,10.4K,2676,1901,
22,22_post,https://www.tiktok.com/@swizzyinsg/video/7242919229945548033,Mary,47,4670,115.3K,2023-6-10,/@swizzyinsg,swizzyinsg,‼️Only 30’ away from Singapore you find this hidden paradise🏝️,"['lazarus', 'lazarusisland', 'singaporeisland', 'exploresingapore', 'singaporetravel', 'discoversingapore', 'thingstodoinsingapore']",4022,1066,1222,139,only 30 minutes from Singapore you find a Hidden Paradise called Lazarus take the ferry from Marina South Pier which is only $15 and a bit windy but you discovered this beautiful white sand and clear blue water the island is so much bigger than expected and there is a unique container hotel for $160 per night if you want to stay a little longer make sure to leave the beach on time before the rain comes and Singapore disappears in the storm
23,23_post,https://www.tiktok.com/@kerrynlee/video/7254541390720339207,小欣 Kerryn Lee,298,28.2K,1M,2d ago ,/@kerrynlee,kerrynlee,How to get free vouchers from Jewel Changi Airport🤑 ,"['singapore', 'tiktoksg', 'fyp', 'jewel', 'changiairport', 'sgfoodie', 'visitsg', 'sgtravel', 'singaporeairlines']",11.5K,6690,1760,26,if you're traveling out from Singapore and you're flying one of these Airlines do you know that you can get these vouchers if you do your early check-in at level 1 Jewel all you need to do is be here by 3 hours or earlier before your flight do your usual check-in and you can get this vouchers from the stuff if you are a tourist you can go to the concert at level two show your passport and you can get another voucher for you to shop at Jewel follow me for more exciting deals in Singapore and I'll see you in my next video bye-bye
24,24_post,https://www.tiktok.com/@ilupbeach/video/7078516671564041473,Ilupbeach,227,1736,25.7K,2022-3-24,/@ilupbeach,ilupbeach,,[],21K,2175,1981,303,
25,25_post,https://www.tiktok.com/@deeniseglitz/video/7237785697799671042,Deenise Glitz,74,84.1K,5.7M,2023-5-27,/@deeniseglitz,deeniseglitz,Stuck in Singapore during June hols? I gotchu. Most of the museums here are free for locals. ,"['exploresg', 'placestogo', 'wheretogo', 'singapore', 'travel', 'tiktoksg', 'museums']",15K,5922,2563,33,free things to do in June part 1
26,26_post,https://www.tiktok.com/@daddy.xj/video/7234456107534585096,daddy.xj,408,8896,130.2K,2023-5-18,/@daddy.xj,daddy.xj,✨[SAVE THIS AND TRAVEL LATER]✨,"['sgtravel', 'traveltips', 'singaporetravel', 'changiairport', 'traveltiktok', 'sgtiktok', 'fypsg']",11.5K,6431,1595,87,free things to do in Singapore Changi Airport Terminal 4 and I will be sharing three things you can do this time number one experience the truth of sliding down these giant slide for free and then bounce and climb in this network play structure that is 60 M tall the giant slide is seriously fun and I could not resist playing it multiple times before I bought my plane number two head to the Heritage Zone where you can relax on a comfortable so far and enjoy this mesmerizing 6 minutes musical show on the giant screen it makes you feel as though you are in a concert or so what about the meaning for and appreciate the amazing world like this stupid Bloom centerpiece which is perfect for photography and selfies number three take a shot at this Lounge for free I am 1.86 meters tall and I can't really sleep well on this comfortable seats which have soft hit rest not free but other things you can do in terminal 4 in clothes getting a tiger beer before you fly to check out the amazing and retail stores in terminal for there's so much to explore
27,27_post,https://www.tiktok.com/@visit_singapore/video/7207742216847068424,Visit Singapore,22,1.5M,8.1M,2023-3-7,/@visit_singapore,visit_singapore,Growing up and glowing up 🌟.  ,"['visitsingapore', 'passionmadepossible', 'singapore', 'traveltok', 'marinabaysands']",398.4K,9578,5222,2533,
28,28_post,https://www.tiktok.com/@ianjeevan/video/7230004360099515650,Ian Jeevan,1507,187.9K,8.7M,2023-5-6,/@ianjeevan,ianjeevan,I’ve always wanted to try taking a first class coach to KL! Finally got the chance to do this last week! ,"['transtartravel', 'bus', 'singapore', 'kualalumpur', 'firstclassbus', 'ianjeevantravels', 'malaysiatravel', 'singaporetravel']",52.4K,9750,9458,421,come for me on the first class bus from Singapore to KL for just 45 dollars so the journey began at 7:00 a.m. at lavender MRT Station where we got picked up by this random bus Which brought us the location where we then transferred to our first class bus so this is how the First Class Bus looks like it's a double-decker bus the seats are equipped with the TV a massage chair ample legroom and comfortable seats so we headed to fast track flights and cross the highway this is pretty smooth with all our baggage I bought some snacks and then we rebooted the bus and that's where we were served our meal which honestly was not bad I would say you can also request for blankets water bottles and snacks at any point of time so the journey to care took about six and a half hours we finally reached by Times Square around 1 p.m. follow me for more travel content
29,29_post,https://www.tiktok.com/@goodtoflynews/video/7244495716662447367,GoodtoFly ✈️,5,3367,596.7K,2023-6-14,/@goodtoflynews,goodtoflynews,a little inside trick for you 😉 ,"['singaporewards', 'singapore', 'visitsingapore', 'travel', 'goodtofly']",2609,1008,430,24,
30,30_post,https://www.tiktok.com/@kevandchen/video/7163838396375239938,Kev and Chen,171,10.3K,166.9K,2022-11-9,/@kevandchen,kevandchen,The efficiency in this country’s transport system. 🤩 ,"['singapore', 'singapore2022', 'singaporetravel', 'travelsingapore', 'mrtsingapore', 'fyp', 'fypph', 'sanall']",32.9K,1583,1719,168,
31,31_post,https://www.tiktok.com/@daddy.xj/video/7225251643175079169,daddy.xj,408,8896,130.2K,2023-4-23,/@daddy.xj,daddy.xj,✨[SAVE THIS AND TRAVEL LATER]✨,"['universalstudiossingapore', 'rwsmoments', 'resortsworldsentosa', 'sentosaislandsingapore', 'travelsingapore', 'exploresg', 'traveltip', 'travelhack']",11.8K,3905,644,48,this is something that you wish to know before you visit Universal Studios Singapore you can collect this free photographs around USS and exchange them at the end of the day but the fact is most people will think they are rubbish and just throw them away here are some ways you could collect this response and maximize the benefits out of this go to all the characters meet and greet section in the park obviously you will get a photo wristband not many know that you can also stop by this stationary photo booths like this Transformer team where they provide the response on selected right you could also ask if they ever respond after you took that right after you have collected at least 10 reasons bring this week's bands to the photography studio here and they will consolidate all photos for you by the way after stuff to take photo of you and they are Green Screen to they allow you to use your phone and take photos of the photos but if you really like the photos you could purchase All Digital copies at the flat rate I think it is 35 dollars nowyou now have the memories of your USS trip which you can download later
32,32_post,https://www.tiktok.com/@aemilst/video/7244184348130282760,ems,2,2.4M,79.9M,2023-6-13,/@aemilst,aemilst,honeymoon ✈️💗 ,"['singapore', 'universalstudiosingapore', 'travel', 'viral']",256.7K,15.6K,383,731,can we skip to the good part
33,33_post,https://www.tiktok.com/@lynnchua_/video/7198486354194353410,Lynn,523,1263,19.2K,2023-2-10,/@lynnchua_,lynnchua_,Villa was way beyond our expectations 😍 ,"['fyp', 'bali', 'singapore', 'travel']",2153,827,193,8,
34,34_post,https://www.tiktok.com/@swizzyinsg/video/7217748941767478535,Mary,47,4670,115.3K,2023-4-3,/@swizzyinsg,swizzyinsg,Only 1 hour from Singapore to this paradise🤩🌴,"['bintan', 'bintanisland', 'singaporetravel', 'exploreasia', 'islandvibes', 'singaporetrip']",1991,771,374,33,desserts
35,35_post,https://www.tiktok.com/@kevouthere/video/7234015985651485970,Kev,270,115K,4M,2023-5-17,/@kevouthere,kevouthere,Singapore through my eyes ,"['foryou', 'singapore', 'aesthetic']",54.3K,8228,837,286,
36,36_post,https://www.tiktok.com/@tanzheexuann/video/7197264108641701122,tanzheexuan,306,1740,141.1K,2023-2-7,/@tanzheexuann,tanzheexuann,extremely thankful for my daddy 🥹 ,"['sg', 'foryou', 'singapore', 'travel']",35.5K,1236,161,37,
37,37_post,https://www.tiktok.com/@kerrynlee/video/7214849855557012738,小欣 Kerryn Lee,298,28.2K,1M,2023-3-26,/@kerrynlee,kerrynlee,Would you pay SGD1350/2pax to travel to Malaysia via cruise? All meals inclusive tho👀  ,"['tiktoksg', 'fyp', 'resortworldcruises', 'resortsworldone', 'rw1', 'readysetsail', 'myrwcexperience', 'travel', 'singapore', 'sgfoodie', 'date', 'visitsg', 'exploresg']",4051,638,899,92,"cruise from Singapore to Malaysia this is results worldwide is the new vessel with 13 decks they can fit 1856 passengers with 928 State rooms I took a 4839 package for the cruise does a trip from Singapore to Port Klang Penang and then back to Singapore there are a few types of room and they all come in different prices we got the balcony stateroom it was around 1,350 for the both of us including mandatory Port charges and go to this price includes five meals a day and inclusive restaurants on some fun activities and performers with that being said no extra charges unless you want to do or eat in a restaurant that is not in the inclusive list oh yes what is not included you have to pay for it unless you can survive without Wi-Fi for 4 days throughout the entire Journey you have to carry your key card with you all the time it's like a credit card you'll be charged if you do or eat something exclusive payment can be made when you check out on the last day even though the cruise stopped at Port Clinton we did not get down and we were allowed to spend a few hours in Penang and then interesting thing is that before we bought the cruise they collected all our passport so we were actually aroundI hope this video gives you an idea of where to go for the next travel destination let me know if you have any questions about the cruise for me for more and I'll see you in my next video bye-bye"
38,38_post,https://www.tiktok.com/@sahdiyaeducates/video/7108797169292905733,SAHDIYA 𝐄𝐃𝐔𝐂𝐀𝐓𝐄𝐒,80,35.1K,904.3K,2022-6-13,/@sahdiyaeducates,sahdiyaeducates,So I spent two weeks in Singapore and here’s what I recommend ,"['singapore', 'visitsingapore', 'traveltok', 'mustdo', 'traveltok', 'sciencewithsahdiya', 'food', 'travel', 'marinabaysands', 'gardensbythebay', 'tanjongbeachclub', 'chinatownsingapore', 'stellaseasidelounge', 'artsciencemuseum', 'hajilane', 'arabstreet']",8949,6321,1239,61,I spent two weeks in Singapore and here's what I recommend you do Marina Bay Sands is the one then walk to Gardens by the bay and the science museum at Stella Seaside Lounge reviews and the food it's just more immerse yourself in the beauty of Arab Street and Hadley Lane visit Chinatown get lunch at tanjong beach club oh my God it's just beautiful make sure you do sunset yoga at the top of Marina Bay Sands
39,39_post,https://www.tiktok.com/@confirmgoodsg/video/7171376323212987649,ConfirmGoodSG,5,12K,490.6K,2022-11-29,/@confirmgoodsg,confirmgoodsg,Japan is in the East but this place isn’t 🇯🇵🇸🇬,"['confirmgoodsg', 'kyoto', 'japan', 'japaninsingapore', 'singapore', 'travelsg', 'japanesearchitecture', 'placestogo', 'fyp', 'discoversg', 'macdonalds']",120.8K,3518,1617,232,
40,40_post,https://www.tiktok.com/@william82sg/video/7243781903445200130,TikTokShop with William,3038,5777,49.3K,2023-6-12,/@william82sg,william82sg,Habe you try traveling in Transtar Travel’s First Class Solitaire Suite! The feeling is like boarding a business class cabin of a plane! ,"['tmsingapore', 'firstclassbus', 'firstclasssolitairesuites', 'malaysia', 'selangor', 'singapore', 'coach', 'travel']",1625,502,779,54,hey guys this is my first time traveling to koalas language with Transtar travel first class Solitaire Street at 6:30 you bought at the bus schedule East MRT it is upper deck bus I said on the other day with my friends do you know that the chance come with such function you're able to reply to rest you will definitely not get bored because there's a TV For Your Entertainment they have a White Sox on YouTube music about 6 hours and 1 p.m.thank you guys for watching do follow me for more travel cont
41,41_post,https://www.tiktok.com/@the.wacky.duo/video/7236164375965371655,The Wacky Duo,29,3207,215.6K,2023-5-23,/@the.wacky.duo,the.wacky.duo,Now Boarding: Experience Singapore through travel. Opens 27 May at ,"['thewackyduo', 'singaporeattractions', 'singapore', 'nationalmuseumofsingapore']",2488,559,888,19,National Museum of Singapore got my first class ticket let's go first stop getting around Singapore check out old travel posters remember these Airline souvenirs have you seen as I first class seat who can forget Isaiah iconic Kubota in the past we use Trisha now we use MRT to get around not stop where to stay in Singapore check out the iconic Raffles Hotel uniform Hotel can you get his uniform is a pussy Hotel Singapore has more crazy Rich Asians wonder why the first stopis Singapore favorite pastime check out the old school Brands recognize any of them time to go start seeing and shopping for the last stop let's go to Singapore's shopping Paradise Orchard Road after shopping let's go sightseeing see old photos of popular attractions finally head to a party to end the day these original night spots signage will bring back nothing will start on May 27th see you on board
42,42_post,https://www.tiktok.com/@pizzachruust/video/7211727936414600450,pizzachruust,217,145,5826,2023-3-18,/@pizzachruust,pizzachruust,Eating in a river — one of the many things to do in kuala lumpur 🥳 ,"['lemon8singapore', 'kualalumpur', 'thingstodoinkl', 'traveldiaries', 'travel']",1614,474,189,10,this is not your typical restaurant I ate my dinner inside a river but things didn't go as planned find out what happened where this is and how much I paid in my lemonade post check out more such recommendations on lemonade across food Fashion Beauty and
43,43_post,https://www.tiktok.com/@visit_singapore/video/7179907304513441026,Visit Singapore,22,1.5M,8.1M,2022-12-22,/@visit_singapore,visit_singapore,What. A. Year. ❤️,"['visitsingapore', 'passionmadepossible', 'singapore', '2022review', '2022tiktok']",113.3K,1204,1362,366,and with that the 2022 season comes to an end good night
44,44_post,https://www.tiktok.com/@unfilterme/video/7234839169728613637,unfilterme 🎮🦄,94,2327,20.7K,2023-5-19,/@unfilterme,unfilterme,Replying to ,"['singaporetravel', 'traveltips', 'traveltok']",2591,1102,410,93,Singapore to Malaysia Malaysia to Singapore via bus why won't you open HP from SG to Malaysia Star Mart Express Road Golden Mile complex to Virginia Times Square at this route is 6 minutes away from Patronus Twin Towers one for a PHP from Malaysia to Singapore route for today is 6 hours happy travels
45,45_post,https://www.tiktok.com/@visit_singapore/video/7145388771696069890,Visit Singapore,22,1.5M,8.1M,2022-9-20,/@visit_singapore,visit_singapore,Some of our fav things to see & do in ,"['singapore', 'cutout', 'travelbucketlist', 'visitsingapore']",48.6K,343,366,104,OK Google
46,46_post,https://www.tiktok.com/@iamladybell/video/7238774906505219333,Labelle SD,79,58,8277,2023-5-30,/@iamladybell,iamladybell,Singapore 2023 Travel Requirements. Hope this helps :) ,"['singapore', 'singaporetravelrequirements', 'gardensbythebay', 'singapore2023']",8025,4542,757,144,
47,47_post,https://www.tiktok.com/@lyramari/video/7175360071403179290,R 💋,172,1463,5981,2022-12-10,/@lyramari,lyramari,Our Singapore Itinerary 🇸🇬 Part 1 ✨ ,"['singapore', 'travelitinerary', 'singapore2022']",4797,1987,277,28,Felix song on my skin this is love I know it is I know it sounds super cliche would you take me to
48,48_post,https://www.tiktok.com/@noraismaill/video/7185955278582566150,nora <3,174,1985,158.7K,2023-1-7,/@noraismaill,noraismaill,My full travel vlog from Toronto to Singapore!! Flying with Korean Air was such a great experience ✈️ ,"['traveltiktok', 'travelvlog', 'travelwithme', 'koreanair', 'koreanairlines', 'singaporetravel', 'singaporevlog']",6354,303,16,45,Toronto all the way to Singapore so I was thinking Korean Airlines and my family just helped me to check in my bags and get them through properly because I've never traveled alone before once all of that was set I left my family and I said goodbye and I was on my way through security that was super smooth and then I just went over to my gate but picked up Starbucks first once I got my Starbucks I just waited at the gate and chilled for a little bit until they call this up before the plane there was actually nobody sitting next to me on this voice so I was super happy we got ready for takeoff and then about 30 minutes and we got our food it was really yummy and you guys could check out my food review for that once we ate the airplane just closed off the lights for so long I honestly wasn't ready to sleep but they wanted everyone to sleep then I got my second meal and finally landed in Korea I had about a 6 hour layover here and I got myself Starbucks again because there wasn't really many options for me to eat the food here is super different than in Toronto and it was really yummyvegetarian meal which I really regret but the ice cream is good I slept a lot on this flight and we finally landed in Singapore after 27 hours
49,49_post,https://www.tiktok.com/@nisombag_singapore/video/7202606928445410561,NISOM,13,5153,55.3K,2023-2-21,/@nisombag_singapore,nisombag_singapore, ,"['unlimitedhpink', 'tiktok', 'tiktoksingapore', 'travelbag', 'bag', 'foryou', 'fypシ', 'fyp', 'travelling', 'travel']",23.8K,2133,783,116,
50,50_post,https://www.tiktok.com/@furmamehmich/video/7236651814018370817,Furmameh Mich,54,846,45.3K,2023-5-24,/@furmamehmich,furmamehmich,Struggle at fort canning tree tunnel.,"['singapore', 'travel', 'travellife']",5414,100,93,17,
51,51_post,https://www.tiktok.com/@maratanch/video/7247466483553717510,maratanch on ig 🌻,248,7698,371.4K,2023-6-22,/@maratanch,maratanch,4 days in Singapore summarized in 10 seconds 🫶🏻 ,"['fyp', 'foryou', 'singapore', 'travelsingapore', 'cinematic']",3652,869,143,43,
52,52_post,https://www.tiktok.com/@audongminie/video/7253282956809194754,Auds ✨️,952,20.3K,1.6M,6d ago ,/@audongminie,audongminie,should I do a singapore first timer series? ,"['concerttips', 'theerastour', 'klook', 'klooksg', 'taylorswift', 'theerastoursingapore', 'travelsingapore', 'taylorswiftsingapore', 'concertsingapore', 'singapore', 'singaporeitinerary']",2396,2018,268,88,are you ready for it
53,53_post,https://www.tiktok.com/@ljandbtravels/video/7222919194243845382,LJ and B,40,805,66.6K,2023-4-17,/@ljandbtravels,ljandbtravels,lets go girls✨ ,"['bestfriendtravels', 'travelaccount', 'travelling', 'backpacking', 'travellers', 'bestfriends', 'travel2023', 'singapore', '2023', 'singaporetravel', 'singaporetiktok']",63K,3742,550,853,
54,54_post,https://www.tiktok.com/@kristenmedina88/video/7244498752491293957,Kristen Medina✨TRAVEL AGENT✈️,2471,51.9K,471.3K,2023-6-14,/@kristenmedina88,kristenmedina88,✨How to save money 💵 when shopping in Sephora Singapore 💄🇸🇬💋,"['travel', 'traveltips', 'shopping', 'singapore', 'traveltok', 'traveldiaries', 'traveling', 'traveltiktok', 'sephora', 'travelagent', 'travelagency']",2084,1260,212,33,you will then be eligible for a 10:00 and that doesn't include the tax refund so you'll even get to save more money but here's the catch the 10th in Orchard Road this is helpful thank you for watching and make sure to follow for more travel agent tips
